constituency_id,constituency_name,district_id,candidate_name,votes,percentage,gender,total_registered,banned_votes,votes_cast
174,Mangochi Masongola,17,IND – Shadreck Hassan,8486,29.26,1,37834,624,29003
176,Mangochi Municipality,18,DPP – Rodrick Clement Chiwaya,10217,40.78,1,37840,385,25052
176,Mangochi Municipality,18,UDF – Idi Kalosi,5204,20.77,1,37840,385,25052
177,Mangochi Nkungulu,18,UDF – Aisha Annie Adams,12221,47.02,0,36088,713,25991
177,Mangochi Nkungulu,18,DPP – Gerald Dickson White,5547,21.34,1,36088,713,25991
178,Mangochi North,17,DPP – Ismail Pawila Kazembe,8820,37.38,1,31307,434,23594
178,Mangochi North,17,IND – Ibrahim Imed Matola,7413,31.42,1,31307,434,23594
179,Mangochi North East,17,DPP – Overton Saidi Saidi Imedi,11063,44.13,1,33078,539,25068
179,Mangochi North East,17,IND – Martin Chikati Nyengo,3812,15.21,1,33078,539,25068
180,Mangochi South,17,IND – Bilal Mussa Tambuli,10831,36.63,1,39179,558,29565
180,Mangochi South,17,DPP – Ibrahim Mtukanika Rodrick,8704,29.44,1,39179,558,29565
181,Mangochi South West,17,DPP – Shadreck Namalomba,7306,25.86,,37784,341,28255
181,Mangochi South West,17,IND – Annie Shawa King,5276,18.67,0,37784,341,28255
182,Mangochi West,17,DPP – Reuben Kanyama,15437,63.1,1,31932,243,24464
182,Mangochi West,17,IND – Simeon Harrison,4495,18.37,1,31932,243,24464
184,Mchinji Central East,19,MCP – Jephter Fackson Mwale,21903,75.25,1,44768,535,29107
184,Mchinji Central East,19,DPP – Diana Raphael,4040,13.88,0,44768,535,29107
185,Mchinji East,19,IND – Brown Mazombwe,14312,51.94,1,36586,368,27553
185,Mchinji East,19,MCP – Godfrey Kapalamula,7209,26.16,1,36586,368,27553
186,Mchinji North,19,MCP – Rachel Patience Mazombwe,11273,40.49,0,42421,580,27844
186,Mchinji North,19,IND – Emmanuel Ghost Mbewe,6782,24.36,1,42421,580,27844
187,Mchinji North East,19,MCP – Anthony Masamba,15536,64.74,1,34482,286,23998
187,Mchinji North East,19,IND – Alex Kafala Chitete,4883,20.35,1,34482,286,23998
188,Mchinji South,19,IND – Owen Malijani,10501,45.54,1,32375,265,23060
188,Mchinji South,19,MCP – Agnes Nandi Nkusankhoma,6547,28.39,0,32375,265,23060
189,Mchinji South West,19,MCP – Deus Texas Ndaziona Banda Gumba,10801,47.78,1,33041,490,22604
189,Mchinji South West,19,IND – John Malunga,10551,46.68,1,33041,490,22604
190,Mchinji West,19,IND – Rhita Sanga,8041,41.26,0,28932,234,19490
190,Mchinji West,19,MCP – John Mussa Paul,7646,39.23,1,28932,234,19490
191,Mulanje Bale,20,DPP – Victor Hetherwick Musowa,13622,66.33,1,27023,508,20537
191,Mulanje Bale,20,IND – Brian Martin Coombes,3957,19.27,1,27023,508,20537
192,Mulanje Central,20,PDP – Kondwani Nankhumwa,17635,62.48,1,35183,388,28227
192,Mulanje Central,20,IND – Rhoda Mbamwabi Gadama,5563,19.71,0,35183,388,28227
194,Mulanje Limbuli,20,IND – Godfrey Graciano Mbawa,18862,58.08,1,39743,472,32475
194,Mulanje Limbuli,20,DPP – Daudi Abiyani Chida,9729,29.96,1,39743,472,32475
195,Mulanje North,20,DPP – Gilbert Pilira Khonyongwa,14584,64.59,1,26928,368,22581
195,Mulanje North,20,IND – Thomas Livison Seyani,4916,21.77,1,26928,368,22581
198,Mulanje Pasani,20,IND – Marium Ajida,8534,35.51,0,28886,272,24030
198,Mulanje Pasani,20,IND – Prince Inglis Mchenga,6788,28.25,1,28886,272,24030
199,Mulanje South,20,DPP – Samson Santigo Phiri,22142,86.5,1,31127,346,25597
199,Mulanje South,20,IND – Salaudin Moidin Jussab,1270,4.96,1,31127,346,25597
200,Mulanje South East,20,IND – Booker Jones Matemvu,12962,48.92,1,32347,372,26498
200,Mulanje South East,20,IND – Tiyamike Harold Goliati,6911,26.08,1,32347,372,26498
201,Mulanje South West,20,DPP – George Chaponda,9887,45.59,1,27454,486,21685
201,Mulanje South West,20,IND – Davie Mpaso,3884,17.91,1,27454,486,21685
202,Mulanje West,20,UTM – Patricia Annie Kaliati,7785,30.04,0,31070,481,25917
202,Mulanje West,20,DPP – Yusuf Witness Nthenda,7569,29.2,1,31070,481,25917
203,Mwanza Central,21,UTM – Felix Njawala,9233,51.12,1,24367,227,18060
203,Mwanza Central,21,IND – Nicholas Harry Dausi,3881,21.49,1,24367,227,18060
206,Mwanza West,21,MCP – Maurine Chifundo Nseula,6360,32.93,0,26678,388,19311
206,Mwanza West,21,DPP – Paul Lackson Zacaria Chibingu,4349,22.52,1,26678,388,19311
221,Mzuzu City North,23,MCP – Frasco Paul Mkandawire,4988,29.54,1,23183,179,16884
221,Mzuzu City North,23,IND – Lenard Zuka Mponda Njikho,3744,22.17,1,23183,179,16884
222,Mzuzu City South East,23,IND – William Chikweta Kaweche,8136,35.97,1,30735,207,22620
222,Mzuzu City South East,23,MCP – Bennex Mwamlima,5362,23.7,1,30735,207,22620
223,Mzuzu City South West,23,IND – William Peter Mkandawire,10565,57.67,1,22711,132,18320
223,Mzuzu City South West,23,DPP – Denis Garnet Moyo,2217,12.1,1,22711,132,18320
224,Neno East,24,DPP – Mary Khembo Maulidi,3406,22.16,0,18651,163,15373
224,Neno East,24,IND – Barry Hamilton Kasamba,2797,18.19,1,18651,163,15373
